product_name,price,rating,ram_rom,display_size,camera,battery,processor,warranty,full_description,page,price_clean,rating_clean
N/A,"₹14,999",N/A,4 gb ram | 64 gb,16.92 cm,50mp rear camera,5200 mah,dimensity,1 year,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)4.3787 Ratings & 51 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5200 mAh BatteryDimensity 6400 Processor1 Year on Handset and 6 Months on Accessories",2,14999.0,
N/A,"₹1,049",N/A,N/A,4.5 cm,0mp front camera,800 mah,N/A,N/A,"Nokia 105 Classic Single Sim Keypad Phone, Without Charger419,390 Ratings & 854 Reviews32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP Front Camera800 mAh BatterySC6531E Processor1 Month Company Domestic Warranty by Company Authorized Service Center.",2,1049.0,
N/A,"₹25,999",N/A,8 gb ram | 256 gb,17.02 cm,50mp + 50mp + 10mp | 50mp front camera,6000 mah,dimensity,1 year,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)4.353,387 Ratings & 4,009 Reviews8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories",2,25999.0,
N/A,₹549,N/A,N/A,4.57 cm,3mp rear camera,1000 mah,N/A,N/A,"HOTLINE H3123.53,522 Ratings & 208 Reviews32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera1000 mAh BatteryThe Hotline Mobiles has 3 Months Manufacture’s Warranty & after Warranty period we would like to help our customers with the best possible service under low expenses",2,549.0,
N/A,"₹14,999",N/A,4 gb ram | 64 gb,17.12 cm,50mp + 2mp | 5mp front camera,6000 mah,dimensity,1 year,"Vivo T4 Lite 5G (Titanium Gold 2026) (4GB 64GB)4.337,436 Ratings & 1,316 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",2,14999.0,
N/A,"₹1,490",N/A,N/A,2.8 inch,8mp + 0mp | 0mp front camera,1900 mah,N/A,N/A,"itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice4.126,848 Ratings & 1,539 Reviews32 MB RAM | 32 MB ROM | Expandable Upto 32 GB7.11 cm (2.8 inch) Quarter QVGA Display0.8MP + 0MP | 0MP Front Camera1900 mAh BatteryUnisoc Processor12+1 month manufacturer warranty",2,1490.0,
N/A,"₹22,999",N/A,6 gb ram | 256 gb,17.27 cm,50mp rear camera,8000 mah,dimensity,1 year,"realme P4R 5G (Silver Glare, 256 GB)4.61,001 Ratings & 66 Reviews6 GB RAM | 256 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh Lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",2,22999.0,
N/A,"₹24,999",N/A,8 gb ram | 256 gb,16.94 cm,50mp + 13mp | 32mp front camera,5500 mah,dimensity,1 year,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)4.41,23,907 Ratings & 7,266 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Quad HD+ Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories",2,24999.0,
N/A,"₹11,999",N/A,4 gb ram | 64 gb,17.13 cm,50mp rear camera,6000 mah,N/A,1 year,"Ai+ Nova 2 5G (Blue, 64 GB)4.42,511 Ratings & 72 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories",2,11999.0,
N/A,"₹33,999",N/A,12 gb ram | 512 gb,17.27 cm,50mp + 8mp | 32mp front camera,7000 mah,dimensity,N/A,"realme GT 7T (IceSense Blue, 512 GB)4.41,256 Ratings & 131 Reviews12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | 32MP Front Camera7000 mAh Li-ion BatteryDimensity 8400-MAX Processorstandard 1-year warranty for the device  and a 6-month warranty for accessories",2,33999.0,
N/A,"₹25,999",N/A,8 gb ram | 256 gb,17.2 cm,50mp rear camera,5800 mah,snapdragon,1 year,"REDMI Note 15 SE 5G (Crimson Reserve, 256 GB)4.41,492 Ratings & 128 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP Rear Camera | 20MP Front Camera5800 mAh Lithium-Ion Polymer BatterySnapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",2,25999.0,
N/A,"₹18,999",N/A,4 gb ram | 128 gb,17.27 cm,50mp rear camera,8000 mah,dimensity,1 year,"realme P4R 5G (Silver Glare, 128 GB)4.4428 Ratings & 45 Reviews4 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh Lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",2,18999.0,
N/A,"₹22,000",N/A,8 gb ram | 256 gb,17.2 cm,50mp rear camera,5520 mah,N/A,1 year,"POCO M8 (Frost Silver, 256 GB)4.41,558 Ratings & 141 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ Display50MP Rear Camera | 20MP Front Camera5520 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",2,22000.0,
N/A,"₹11,299",N/A,4 gb ram | 64 gb,17.02 cm,50mp rear camera,5000 mah,N/A,1 year,"Samsung Galaxy M06 5G (Blazing Black, 64 GB)4.1960 Ratings & 62 Reviews4 GB RAM | 64 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",2,11299.0,
